Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
"1,1,1,2-Tetrachloroethane",-2.18,-2.794,ClCC(Cl)(Cl)Cl
"1,1,1-Trichloroethane",-2.0,-2.232,CC(Cl)(Cl)Cl
"1,1,2,2-Tetrachloroethane",-1.74,-2.549,ClC(Cl)C(Cl)Cl
"1,1,2-Trichloroethane",-1.48,-1.961,ClCC(Cl)Cl
"1,1,2-Trichlorotrifluoroethane",-3.04,-3.077,FC(F)(Cl)C(F)(Cl)Cl
"1,1-Dichloroethane",-1.29,-1.576,CC(Cl)Cl
"1,1-Dichloroethylene",-1.64,-1.939,ClC(=C)Cl
"1,1-Diethoxyethane ",-0.43,-0.899,CCOC(C)OCC
"1,2,3,4-Tetrachlorobenzene",-4.57,-4.546,Clc1ccc(Cl)c(Cl)c1Cl
"1,2,3,4-Tetrahydronapthalene",-4.37,-3.447,C1CCc2ccccc2C1
"1,2,3,5-Tetrachlorobenzene",-4.63,-4.621,Clc1cc(Cl)c(Cl)c(Cl)c1
"1,2,3-Trichlorobenzene",-4.0,-4.008,Clc1cccc(Cl)c1Cl
"1,2,3-Trimethylbenzene ",-3.2,-3.312,Cc1cccc(C)c1C
"1,2,4,5-Tetrabromobenzene",-6.98,-6.001,Brc1cc(Br)c(Br)cc1Br
"1,2,4,5-Tetrachlorobenzene",-5.56,-4.621,Clc1cc(Cl)c(Cl)cc1Cl
"1,2,4,5-Tetramethylbenzene",-4.59,-3.664,Cc1cc(C)c(C)cc1C
"1,2,4-tribromobenzene",-4.5,-5.144,c1(Br)c(Br)cc(Br)cc1
"1,2,4-Trichlorobenzene",-3.59,-4.083,Clc1ccc(Cl)c(Cl)c1
"1,2,4-Trimethylbenzene",-3.31,-3.343,Cc1ccc(C)c(C)c1
"1,2-Benzenediol",0.62,-1.635,Oc1ccccc1O
"1,2-Dibromobenzene",-3.5,-4.172,Brc1ccccc1Br
"1,2-Dibromoethane",-1.68,-2.102,BrCCBr
"1,2-Dichlorobenzene",-3.05,-3.482,Clc1ccccc1Cl
"1,2-Dichloroethane",-1.06,-1.374,ClCCCl
"1,2-Dichloropropane",-1.6,-1.794,CC(Cl)CCl
